mid,runs,wickets,overs,runs_last_5,wickets_last_5,total
3,0,0,0.2,0,0,129
3,0,0,0.3,0,0,129
3,1,0,0.3,1,0,129
3,1,0,0.4,1,0,129
3,1,0,0.5,1,0,129
3,7,0,0.6,7,0,129
3,8,0,1.1,8,0,129
3,8,0,1.2,8,0,129
3,8,0,1.3,8,0,129
3,9,0,1.4,9,0,129
3,13,0,1.5,13,0,129
3,17,0,1.6,17,0,129
3,17,0,2.1,17,0,129
3,17,0,2.2,17,0,129
3,17,1,2.3,17,1,129
3,17,1,2.4,17,1,129
3,17,1,2.5,17,1,129
3,17,1,2.6,17,1,129
3,18,1,3.1,18,1,129
3,22,1,3.2,22,1,129
3,26,1,3.3,26,1,129
3,27,1,3.4,27,1,129
3,27,2,3.5,27,2,129
3,31,2,3.6,31,2,129
3,31,2,4.1,31,2,129
3,31,2,4.2,31,2,129
3,32,2,4.3,32,2,129
3,36,2,4.4,36,2,129
3,36,2,4.5,36,2,129
3,37,2,4.6,37,2,129
3,37,2,5.1,37,2,129
3,38,2,5.2,38,2,129
3,38,2,5.3,37,2,129
3,39,2,5.4,38,2,129
3,40,2,5.5,39,2,129
3,40,2,5.6,33,2,129
3,40,2,6.1,32,2,129
3,41,3,6.2,33,3,129
3,43,3,6.3,35,3,129
3,43,3,6.4,34,3,129
3,43,3,6.5,30,3,129
3,44,3,6.6,27,3,129
3,45,3,7.1,28,3,129
3,46,3,7.2,29,3,129
3,47,3,7.3,30,2,129
3,47,4,7.4,30,3,129
3,47,4,7.5,30,3,129
3,48,4,7.6,31,3,129
3,48,4,8.1,30,3,129
3,48,4,8.2,26,3,129
3,49,4,8.3,23,3,129
3,50,4,8.4,23,3,129
3,50,4,8.5,23,2,129
3,51,4,8.6,20,2,129
3,52,4,9.1,21,2,129
3,53,4,9.2,22,2,129
3,54,4,9.3,22,2,129
3,55,4,9.4,19,2,129
3,56,4,9.5,20,2,129
3,57,4,9.6,20,2,129
3,57,4,10.1,20,2,129
3,57,4,10.2,19,2,129
3,57,5,10.3,19,3,129
3,58,5,10.4,19,3,129
3,58,5,10.5,18,3,129
3,59,5,10.6,19,3,129
3,65,5,11.1,25,3,129
3,69,5,11.2,28,2,129
3,70,5,11.3,27,2,129
3,70,5,11.4,27,2,129
3,71,5,11.5,28,2,129
3,71,5,11.6,27,2,129
3,71,6,12.1,26,3,129
3,75,6,12.2,29,3,129
3,76,6,12.3,29,3,129
3,78,6,12.3,31,2,129
3,78,6,12.4,31,2,129
3,79,6,12.5,31,2,129
3,80,6,12.6,32,2,129
3,84,6,13.1,36,2,129
3,85,6,13.2,36,2,129
3,86,6,13.3,36,2,129
3,86,6,13.4,36,2,129
3,87,6,13.5,36,2,129
3,87,6,13.6,35,2,129
3,93,6,14.1,40,2,129
3,93,7,14.2,39,3,129
3,93,7,14.3,38,3,129
3,94,7,14.4,38,3,129
3,95,7,14.5,38,3,129
3,96,7,14.6,39,3,129
3,96,7,15.1,39,3,129
3,96,7,15.2,39,2,129
3,100,7,15.3,42,2,129
3,100,7,15.4,42,2,129
3,104,7,15.5,45,2,129
3,106,7,15.6,41,2,129
3,107,7,16.1,38,2,129
3,107,7,16.2,37,2,129
3,108,7,16.3,38,2,129
3,108,7,16.4,37,2,129
3,109,7,16.5,38,2,129
3,110,7,16.6,39,1,129
3,110,8,17.1,35,2,129
3,110,8,17.2,34,2,129
3,110,8,17.3,32,2,129
3,110,8,17.4,32,2,129
3,111,8,17.5,32,2,129
3,111,8,17.6,31,2,129
3,111,8,18.1,27,2,129
3,112,8,18.2,27,2,129
3,116,8,18.3,30,2,129
3,120,8,18.4,34,2,129
3,120,8,18.5,33,2,129
3,121,8,18.6,34,2,129
3,125,8,19.1,32,2,129
3,125,8,19.2,32,1,129
3,126,8,19.3,33,1,129
3,127,8,19.4,33,1,129
3,129,8,19.5,34,1,129
3,129,8,19.6,33,1,129
4,0,0,0.1,0,0,165
4,4,0,0.2,4,0,165
4,4,0,0.3,4,0,165
4,4,0,0.4,4,0,165
4,8,0,0.5,8,0,165
4,8,0,0.6,8,0,165
4,9,0,1.1,9,0,165
4,9,0,1.2,9,0,165
4,9,0,1.3,9,0,165
4,9,0,1.4,9,0,165
4,9,1,1.5,9,1,165
4,13,1,1.6,13,1,165
4,13,1,2.1,13,1,165
4,17,1,2.2,17,1,165
4,17,1,2.3,17,1,165
4,18,1,2.4,18,1,165
4,18,1,2.5,18,1,165
4,19,1,2.5,19,1,165
4,19,1,2.6,19,1,165
4,19,1,3.1,19,1,165
4,20,1,3.2,20,1,165
4,20,1,3.3,20,1,165
4,20,2,3.4,20,2,165
4,22,2,3.5,22,2,165
4,22,2,3.6,22,2,165
4,23,2,4,23,2,165
4,27,2,4.1,27,2,165
4,31,2,4.2,31,2,165
4,31,2,4.3,31,2,165
4,35,2,4.4,35,2,165
4,35,2,4.5,35,2,165
4,41,2,4.6,37,2,165
4,42,2,5.1,38,2,165
4,46,2,5.2,42,2,165
4,46,2,5.3,38,2,165
4,46,3,5.4,38,3,165
4,47,3,5.5,38,3,165
4,47,3,5.6,38,3,165
4,48,3,6.1,39,3,165
4,48,3,6.2,39,3,165
4,49,3,6.3,40,2,165
4,53,3,6.4,40,2,165
4,54,3,6.5,41,2,165
4,54,3,6.6,37,2,165
4,54,3,7.1,37,2,165
4,55,3,7.2,37,2,165
4,56,3,7.3,38,2,165
4,57,3,7.4,38,2,165
4,58,3,7.5,39,2,165
4,60,3,7.6,41,2,165
4,61,3,8.1,41,2,165
4,62,3,8.2,42,2,165
4,63,3,8.3,43,1,165
4,67,3,8.4,45,1,165
4,68,3,8.5,46,1,165
4,72,3,8.6,49,1,165
4,72,3,9.1,45,1,165
4,73,3,9.2,42,1,165
4,73,3,9.3,42,1,165
4,74,3,9.4,39,1,165
4,74,3,9.5,39,1,165
4,74,3,9.6,33,1,165
4,75,3,10.1,33,1,165
4,76,3,10.2,30,1,165
4,80,3,10.3,34,1,165
4,81,3,10.4,35,0,165
4,81,3,10.5,34,0,165
4,81,3,10.6,34,0,165
4,81,3,11.1,33,0,165
4,83,3,11.2,35,0,165
4,84,3,11.3,35,0,165
4,84,3,11.4,31,0,165
4,88,3,11.5,34,0,165
4,94,3,11.6,40,0,165
4,94,3,12.1,40,0,165
4,95,3,12.2,40,0,165
4,95,3,12.3,39,0,165
4,95,3,12.4,38,0,165
4,96,3,12.5,38,0,165
4,97,3,12.6,37,0,165
4,97,3,13.1,36,0,165
4,97,3,13.2,35,0,165
4,97,4,13.3,34,1,165
4,98,4,13.4,31,1,165
4,98,4,13.5,30,1,165
4,99,4,13.6,27,1,165
4,100,4,14.1,28,1,165
4,101,4,14.2,28,1,165
4,102,4,14.3,29,1,165
4,102,4,14.4,28,1,165
4,104,4,14.5,30,1,165
4,105,4,14.6,31,1,165
4,106,4,15.1,31,1,165
4,107,4,15.2,31,1,165
4,108,4,15.3,28,1,165
4,109,4,15.3,28,1,165
4,110,4,15.4,29,1,165
4,114,4,15.5,33,1,165
4,118,4,15.6,37,1,165
4,119,4,16.1,36,1,165
4,120,4,16.2,36,1,165
4,124,4,16.3,40,1,165
4,125,4,16.4,37,1,165
4,125,5,16.5,31,2,165
4,129,5,16.6,35,2,165
4,131,5,17.1,36,2,165
4,137,5,17.2,42,2,165
4,138,5,17.3,43,2,165
4,142,5,17.4,46,2,165
4,148,5,17.5,51,2,165
4,149,5,17.6,52,2,165
4,150,5,18.1,53,2,165
4,151,5,18.2,54,1,165
4,151,5,18.3,53,1,165
4,152,5,18.4,54,1,165
4,152,6,18.5,53,2,165
4,158,6,18.6,58,2,165
4,159,6,19.1,58,2,165
4,159,6,19.2,57,2,165
4,163,6,19.3,61,2,165
4,164,6,19.4,60,2,165
4,165,6,19.5,60,2,165
4,165,7,19.6,59,3,165
5,1,0,0.1,1,0,110
5,2,0,0.1,2,0,110
5,4,0,0.2,4,0,110
5,4,0,0.3,4,0,110
5,4,0,0.4,4,0,110
5,4,0,0.5,4,0,110
5,9,0,0.6,9,0,110
5,10,0,1.1,10,0,110
5,11,0,1.2,11,0,110
5,11,0,1.3,11,0,110
5,12,0,1.4,12,0,110
5,13,0,1.4,13,0,110
5,13,0,1.5,13,0,110
5,14,0,1.5,14,0,110
5,14,0,1.6,14,0,110
5,15,0,2.1,15,0,110
5,15,0,2.2,15,0,110
5,15,0,2.3,15,0,110
5,16,0,2.4,16,0,110
5,20,0,2.5,20,0,110
5,21,0,2.6,21,0,110
5,21,0,3.1,21,0,110
5,21,1,3.2,21,1,110
5,21,1,3.3,21,1,110
5,21,1,3.4,21,1,110
5,21,1,3.5,21,1,110
5,21,1,3.6,21,1,110
5,22,1,4.1,22,1,110
5,22,1,4.2,22,1,110
5,22,2,4.3,22,2,110
5,23,2,4.4,22,2,110
5,23,2,4.5,21,2,110
5,23,2,4.6,19,2,110
5,29,2,5.1,25,2,110
5,29,2,5.2,25,2,110
5,35,2,5.3,31,2,110
5,39,2,5.4,30,2,110
5,39,2,5.5,29,2,110
5,39,2,5.6,28,2,110
5,40,2,6.1,29,2,110
5,40,2,6.2,28,2,110
5,41,2,6.3,28,2,110
5,45,2,6.4,32,2,110
5,45,2,6.5,31,2,110
5,45,2,6.6,31,2,110
5,45,2,7.1,30,2,110
5,46,2,7.1,31,2,110
5,46,2,7.2,31,2,110
5,47,2,7.3,31,2,110
5,47,2,7.4,27,2,110
5,47,2,7.5,26,2,110
5,47,2,7.6,26,2,110
5,47,3,8.1,26,2,110
5,47,3,8.2,26,2,110
5,47,3,8.3,26,2,110
5,47,4,8.4,26,3,110
5,47,4,8.5,26,3,110
5,48,4,8.6,26,3,110
5,49,4,9.1,27,3,110
5,50,4,9.2,28,2,110
5,51,4,9.3,28,2,110
5,51,4,9.4,28,2,110
5,52,4,9.5,29,2,110
5,52,4,9.6,23,2,110
5,52,4,10.1,23,2,110
5,52,4,10.2,17,2,110
5,52,4,10.3,13,2,110
5,52,4,10.4,13,2,110
5,53,4,10.5,14,2,110
5,57,4,10.6,17,2,110
5,57,4,11.1,17,2,110
5,57,4,11.2,16,2,110
5,58,4,11.3,13,2,110
5,58,5,11.4,13,3,110
5,59,5,11.5,14,3,110
5,59,5,11.6,14,3,110
5,60,5,12.1,14,3,110
5,61,5,12.2,15,3,110
5,61,5,12.3,14,3,110
5,62,5,12.4,15,3,110
5,62,5,12.5,15,3,110
5,62,5,12.6,15,3,110
5,62,5,13.1,15,2,110
5,63,5,13.2,16,2,110
5,63,5,13.3,16,2,110
5,63,5,13.4,16,1,110
5,64,5,13.5,17,1,110
5,65,5,13.6,17,1,110
5,71,5,14.1,22,1,110
5,71,5,14.2,21,1,110
5,71,6,14.3,20,2,110
5,72,6,14.4,21,2,110
5,73,6,14.5,21,2,110
5,77,6,14.6,25,2,110
5,77,6,15.1,25,2,110
5,78,6,15.2,26,2,110
5,78,6,15.3,26,2,110
5,78,6,15.4,26,2,110
5,79,6,15.4,26,2,110
5,81,6,15.5,24,2,110
5,82,6,15.6,25,2,110
5,82,6,16.1,25,2,110
5,83,6,16.1,25,2,110
5,89,6,16.2,31,1,110
5,95,6,16.3,36,1,110
5,96,6,16.4,37,1,110
5,102,6,16.5,42,1,110
5,102,6,16.6,41,1,110
5,103,6,17.1,42,1,110
5,103,6,17.2,41,1,110
5,104,6,17.3,42,1,110
5,104,7,17.4,42,2,110
5,105,7,17.5,43,2,110
5,105,8,17.6,42,3,110
5,106,8,18.1,43,3,110
5,110,8,18.2,47,3,110
5,110,9,18.3,46,4,110
5,110,10,18.4,45,5,110
6,0,0,0.1,0,0,166
6,0,0,0.2,0,0,166
6,0,0,0.3,0,0,166
6,0,0,0.4,0,0,166
6,1,0,0.5,1,0,166
6,1,0,0.6,1,0,166
6,5,0,1.1,5,0,166
6,5,0,1.2,5,0,166
6,5,0,1.3,5,0,166
6,5,0,1.4,5,0,166
6,6,0,1.5,6,0,166
6,6,0,1.6,6,0,166
6,10,0,2.1,10,0,166
6,10,0,2.2,10,0,166
6,10,0,2.3,10,0,166
6,16,0,2.4,16,0,166
6,16,0,2.5,16,0,166
6,16,0,2.6,16,0,166
6,20,0,3.1,20,0,166
6,20,0,3.2,20,0,166
6,20,0,3.3,20,0,166
6,20,0,3.4,20,0,166
6,24,0,3.5,24,0,166
6,24,0,3.6,24,0,166
6,24,0,4.1,24,0,166
6,24,0,4.2,24,0,166
6,28,0,4.3,28,0,166
6,34,0,4.4,34,0,166
6,34,1,4.5,34,1,166
6,38,1,4.6,38,1,166
6,39,1,5.1,39,1,166
6,45,1,5.2,45,1,166
6,49,1,5.3,49,1,166
6,53,1,5.4,53,1,166
6,53,1,5.5,52,1,166
6,54,1,5.6,53,1,166
6,55,1,6.1,50,1,166
6,56,1,6.2,51,1,166
6,56,2,6.3,51,2,166
6,56,2,6.4,51,2,166
6,57,2,6.5,51,2,166
6,59,2,6.6,53,2,166
6,60,2,7,50,2,166
6,61,2,7.1,51,2,166
6,64,2,7.2,54,2,166
6,64,3,7.3,48,3,166
6,68,3,7.4,52,3,166
6,69,3,7.4,53,3,166
6,70,3,7.5,50,3,166
6,71,3,8.6,51,3,166
6,71,3,8.1,51,3,166
6,72,3,8.2,52,3,166
6,73,3,8.3,49,3,166
6,73,3,8.4,49,3,166
6,73,4,8.5,49,4,166
6,73,4,9.6,49,4,166
6,77,4,9.1,49,4,166
6,81,4,9.2,47,4,166
6,82,4,9.3,48,3,166
6,82,4,9.4,44,3,166
6,82,4,9.5,43,3,166
6,83,4,10.6,38,3,166
6,84,4,10.1,35,3,166
6,84,4,10.2,31,3,166
6,84,4,10.3,31,3,166
6,85,4,10.4,31,3,166
6,85,4,10.5,30,3,166
6,86,4,11.6,30,3,166
6,87,4,11.1,31,2,166
6,88,4,11.2,32,2,166
6,89,4,11.3,32,2,166
6,93,4,11.4,34,2,166
6,97,4,11.5,37,2,166
6,98,4,12.6,37,2,166
6,98,4,12.1,34,2,166
6,98,4,12.2,34,1,166
6,100,4,12.3,32,1,166
6,101,4,12.4,32,1,166
6,101,4,12.5,31,1,166
6,107,4,13.6,36,1,166
6,107,4,13.1,36,1,166
6,111,4,13.2,39,1,166
6,112,4,13.3,39,1,166
6,112,4,13.4,39,1,166
6,112,4,13.5,39,0,166
6,113,4,14.6,40,0,166
6,113,4,14.1,36,0,166
6,113,4,14.2,32,0,166
6,114,4,14.3,32,0,166
6,114,4,14.4,32,0,166
6,115,4,14.5,33,0,166
6,121,4,15.6,38,0,166
6,127,4,15.1,43,0,166
6,127,4,15.2,43,0,166
6,128,4,15.3,44,0,166
6,128,4,15.4,43,0,166
6,128,4,15.5,43,0,166
6,128,4,16.6,42,0,166
6,129,4,16.1,42,0,166
6,135,4,16.2,47,0,166
6,136,4,16.3,47,0,166
6,136,5,16.4,43,1,166
6,136,5,16.5,39,1,166
6,136,5,17.6,38,1,166
6,136,6,17.1,38,2,166
6,136,6,17.2,38,2,166
6,136,7,17.3,36,3,166
6,136,7,17.4,35,3,166
6,138,7,17.5,37,3,166
6,140,7,18.6,33,3,166
6,141,7,18.1,34,3,166
6,145,7,18.2,34,3,166
6,147,7,18.3,35,3,166
6,148,7,18.4,36,3,166
6,149,8,18.5,37,4,166
6,153,8,19.6,40,4,166
6,155,8,19,42,4,166
6,156,8,19.1,43,4,166
6,156,8,19.2,42,4,166
6,158,8,19.3,44,4,166
6,162,8,19.4,47,4,166
6,166,8,19.5,45,4,166
7,0,0,0.1,0,0,142
7,0,0,0.2,0,0,142
7,1,0,0.3,1,0,142
7,1,0,0.4,1,0,142
7,1,0,0.5,1,0,142
7,1,0,0.6,1,0,142
7,1,0,1.1,1,0,142
7,1,0,1.2,1,0,142
7,7,0,1.3,7,0,142
7,7,0,1.4,7,0,142
7,9,0,1.5,9,0,142
7,9,1,1.6,9,1,142
7,9,1,2.1,9,1,142
7,11,1,2.2,11,1,142
7,11,1,2.3,11,1,142
7,11,1,2.4,11,1,142
7,11,1,2.5,11,1,142
7,15,1,2.6,15,1,142
7,15,1,3.1,15,1,142
7,15,1,3.2,15,1,142
7,15,1,3.3,15,1,142
7,16,1,3.4,16,1,142
7,16,1,3.5,16,1,142
7,16,1,3.6,16,1,142
7,17,1,4.1,17,1,142
7,19,1,4.2,19,1,142
7,23,1,4.3,23,1,142
7,23,1,4.4,23,1,142
7,23,1,4.5,23,1,142
7,23,1,4.6,23,1,142
7,23,2,5.1,23,2,142
7,23,2,5.2,23,2,142
7,23,2,5.3,22,2,142
7,23,2,5.4,22,2,142
7,25,2,5.5,24,2,142
7,25,2,5.6,24,2,142
7,26,2,6.1,25,2,142
7,30,2,6.2,29,2,142
7,34,2,6.3,27,2,142
7,34,2,6.4,27,2,142
7,34,2,6.5,25,2,142
7,34,2,6.6,25,1,142
7,35,2,7.1,26,1,142
7,36,2,7.2,25,1,142
7,36,2,7.3,25,1,142
7,36,2,7.4,25,1,142
7,36,2,7.5,25,1,142
7,36,3,7.6,21,2,142
7,40,3,8.1,25,2,142
7,40,3,8.2,25,2,142
7,41,3,8.3,26,2,142
7,42,3,8.4,26,2,142
7,42,3,8.5,26,2,142
7,43,3,8.6,27,2,142
7,44,3,9,27,2,142
7,45,3,9.1,26,2,142
7,45,4,9.2,22,3,142
7,45,4,9.3,22,3,142
7,45,4,9.4,22,3,142
7,45,4,9.5,22,3,142
7,45,4,9.6,22,2,142
7,45,4,10.1,22,2,142
7,45,4,10.2,22,2,142
7,45,4,10.3,22,2,142
7,49,4,10.4,24,2,142
7,53,4,10.5,28,2,142
7,54,4,10.6,28,2,142
7,56,4,11.1,26,2,142
7,56,4,11.2,22,2,142
7,57,4,11.3,23,2,142
7,58,4,11.4,24,2,142
7,59,4,11.5,25,2,142
7,60,4,11.6,25,2,142
7,60,5,12.1,24,3,142
7,60,5,12.2,24,3,142
7,60,5,12.3,24,3,142
7,61,5,12.4,25,3,142
7,62,5,12.5,26,2,142
7,62,5,12.6,22,2,142
7,63,5,13.1,23,2,142
7,64,5,13.2,23,2,142
7,65,5,13.3,23,2,142
7,66,5,13.4,24,2,142
7,67,5,13.5,24,2,142
7,68,5,13.6,24,2,142
7,69,5,14.1,24,2,142
7,70,5,14.2,25,1,142
7,71,5,14.3,26,1,142
7,71,5,14.4,26,1,142
7,72,5,14.5,27,1,142
7,73,5,14.6,28,1,142
7,73,5,15.1,28,1,142
7,74,5,15.2,29,1,142
7,80,5,15.3,35,1,142
7,81,5,15.4,32,1,142
7,82,5,15.5,29,1,142
7,82,5,15.6,28,1,142
7,82,6,16.1,26,2,142
7,83,6,16.2,27,2,142
7,83,6,16.3,26,2,142
7,89,6,16.4,31,2,142
7,90,6,16.5,31,2,142
7,90,6,16.6,30,2,142
7,96,6,17.1,36,1,142
7,102,6,17.2,42,1,142
7,106,6,17.3,46,1,142
7,110,6,17.4,49,1,142
7,114,6,17.5,52,1,142
7,116,6,17.6,54,1,142
7,118,6,18.1,55,1,142
7,122,6,18.2,58,1,142
7,123,6,18.3,58,1,142
7,123,7,18.4,57,2,142
7,124,7,18.5,57,2,142
7,128,7,18.6,60,2,142
7,129,7,19.1,60,2,142
7,129,8,19.2,59,3,142
7,130,8,19.3,59,3,142
7,131,8,19.4,60,3,142
7,133,8,19.5,61,3,142
7,140,8,19.5,67,3,142
7,142,8,19.6,69,3,142
8,1,0,0,1,0,208
8,1,0,0.1,1,0,208
8,1,0,0.2,1,0,208
8,1,0,0.3,1,0,208
8,5,0,0.4,5,0,208
8,5,0,0.5,5,0,208
8,7,0,0.6,7,0,208
8,7,0,1.1,7,0,208
8,8,0,1.2,8,0,208
8,8,0,1.3,8,0,208
8,12,0,1.4,12,0,208
8,12,0,1.5,12,0,208
8,16,0,1.6,16,0,208
8,16,0,2.1,16,0,208
8,20,0,2.2,20,0,208
8,26,0,2.3,26,0,208
8,26,0,2.4,26,0,208
